project_id,state,district_code,project_type,land_type,land_area_acres,num_affected_families,num_departments_involved,notification_age_days,compensation_status,compensation_disbursed_pct,possession_status,legal_disputes_count,court_case_pending,rehabilitation_required,rehabilitation_progress_pct,stakeholder_responsiveness_score,historical_dept_performance_score,public_objections_count,pending_approvals_count,budget_utilization_pct,monsoon_season_overlap,is_delayed,delay_days
LAP-10000,Maharashtra,MAH-5,Irrigation,Tribal,69.0,5,4,1463,Fully Disbursed,93,Award Declared,2,0,1,12,4.3,67.4,0,7,53.8,0,0,0
LAP-10001,Haryana,HAR-3,Renewable Energy,Private Agricultural,44.1,84,6,826,Partially Disbursed,79,Full Possession,0,0,1,7,8.3,57.7,1,4,71.3,0,0,0
LAP-10002,Gujarat,GUJ-5,Irrigation,Private Agricultural,64.0,71,5,311,Not Started,7,Partial Possession,1,1,1,67,9.0,42.7,3,5,72.8,0,0,0
LAP-10003,West Bengal,WES-6,Irrigation,Tribal,7.1,18,2,1285,Not Started,2,Award Declared,2,0,1,33,5.2,36.1,1,0,55.3,1,0,0
LAP-10004,Bihar,BIH-3,Railway,Forest,3.8,9,3,190,Fully Disbursed,92,Survey Complete,3,1,1,70,5.3,76.8,1,7,40.1,0,0,0
LAP-10005,West Bengal,WES-4,Urban Development,Government,18.9,15,3,1139,Not Started,4,Survey Complete,0,0,1,17,4.7,41.5,2,5,49.4,0,0,0
LAP-10006,Uttar Pradesh,UTT-1,Industrial Corridor,Government,38.7,16,4,718,Not Started,9,Award Declared,0,0,0,100,6.3,56.8,1,4,42.8,1,0,0
LAP-10007,Chhattisgarh,CHH-5,Highway,Mixed,6.7,17,1,838,Partially Disbursed,72,Survey Complete,1,1,0,100,4.7,68.9,0,7,24.4,0,0,0
LAP-10008,Haryana,HAR-6,Airport,Government,103.2,71,3,997,Partially Disbursed,17,Survey Complete,1,1,0,100,5.6,52.3,2,6,32.6,0,0,0
LAP-10009,Gujarat,GUJ-1,Highway,Private Agricultural,27.1,118,6,195,Partially Disbursed,62,Not Started,2,1,1,58,7.0,50.3,2,2,51.1,0,0,0
LAP-10010,Chhattisgarh,CHH-1,Highway,Private Agricultural,31.5,1119,4,261,Fully Disbursed,97,Award Declared,1,1,0,100,4.7,17.1,4,1,83.1,0,0,0
LAP-10011,Odisha,ODI-4,Railway,Forest,185.0,1783,2,1324,Partially Disbursed,36,Partial Possession,1,0,1,15,5.7,32.5,0,2,48.3,1,0,0
LAP-10012,Tamil Nadu,TAM-5,Irrigation,Private Agricultural,26.0,54,5,1278,Not Started,4,Survey Complete,1,1,1,23,6.5,37.8,1,3,11.4,0,0,0
LAP-10013,Jharkhand,JHA-2,Renewable Energy,Forest,17.8,48,5,1241,Partially Disbursed,82,Award Declared,1,1,1,43,6.7,94.5,1,4,46.8,0,0,0
LAP-10014,Punjab,PUN-6,Power Transmission,Government,89.6,92,6,1275,Partially Disbursed,70,Partial Possession,0,0,0,100,3.6,75.6,1,4,84.3,1,1,23
LAP-10015,Chhattisgarh,CHH-6,Renewable Energy,Government,49.5,23,6,1419,Not Started,7,Partial Possession,0,0,0,100,7.2,14.2,4,0,40.2,1,0,0
LAP-10016,Tamil Nadu,TAM-4,Irrigation,Tribal,60.0,196,5,1349,Fully Disbursed,97,Survey Complete,0,0,1,36,8.0,38.8,4,5,55.3,0,0,0
LAP-10017,Tamil Nadu,TAM-3,Airport,Forest,2.7,374,1,63,Not Started,6,Partial Possession,1,1,0,100,7.0,65.5,0,3,56.4,1,1,117
LAP-10018,Chhattisgarh,CHH-5,Highway,Private Agricultural,20.1,69,6,1215,Fully Disbursed,95,Not Started,0,0,1,82,3.4,30.4,1,5,73.7,0,0,0
LAP-10019,Haryana,HAR-6,Highway,Private Agricultural,108.7,60,1,1278,Not Started,8,Survey Complete,2,1,0,100,6.9,57.4,1,1,39.9,1,0,0
LAP-10020,West Bengal,WES-5,Urban Development,Government,36.5,266,4,462,Partially Disbursed,62,Full Possession,0,0,0,100,6.7,99.0,0,5,56.7,1,0,0
LAP-10021,Punjab,PUN-4,Urban Development,Private Agricultural,9.8,8,6,888,Not Started,9,Award Declared,0,0,1,42,6.7,51.9,2,2,81.6,0,0,0
LAP-10022,Punjab,PUN-6,Urban Development,Tribal,46.5,51,4,1104,Fully Disbursed,90,Partial Possession,1,1,0,100,6.7,54.3,1,6,9.2,1,0,0
LAP-10023,Rajasthan,RAJ-3,Highway,Forest,4.7,1,3,760,Fully Disbursed,97,Survey Complete,2,1,1,68,6.7,73.4,3,1,32.8,0,0,0
LAP-10024,Haryana,HAR-3,Highway,Tribal,32.6,356,6,238,Not Started,2,Survey Complete,1,1,1,4,4.4,26.3,5,6,72.7,0,1,193
LAP-10025,Odisha,ODI-3,Power Transmission,Government,7.9,12,4,880,Partially Disbursed,48,Survey Complete,2,1,1,26,4.7,71.0,2,0,61.6,0,0,0
